Name,Size,Content Type
takehome.py,2841,text/x-python
README.md,1144,
sample.pdf,6566,application/pdf
random-forest.png,170098,image/png
linear-regression-plot.jpg,19782,image/jpeg
user1.json,16,application/json
user2.json,17,application/json
config,310,
HEAD,21,
description,73,
index,664,
packed-refs,112,
pack-fae941e78f702a204781c952012b7cdac491b5d5.idx,1352,
pack-fae941e78f702a204781c952012b7cdac491b5d5.pack,184614,
exclude,240,
HEAD,210,
main,210,
HEAD,210,
commit-msg.sample,896,
pre-rebase.sample,4898,
pre-commit.sample,1643,
applypatch-msg.sample,478,
fsmonitor-watchman.sample,4726,
pre-receive.sample,544,
prepare-commit-msg.sample,1492,
post-update.sample,189,
pre-merge-commit.sample,416,
pre-applypatch.sample,424,
pre-push.sample,1374,
update.sample,3650,
push-to-checkout.sample,2783,
main,41,
HEAD,30,
